scientificName,kingdom
Serpulidae,Animalia
Abyssoninoe,Animalia
Spirorbis,Animalia
Leodice,Animalia
Onchnesoma,Animalia
Stenidius vittatus,Animalia
Notoxus mauritanicus,Animalia
Stenidius tenuipes,Animalia
Stricticollis longicollis,Animalia
Pseudonotoxus testaceus,Animalia
Stricticollis transversalis,Animalia
Cyclodinus salinus,Animalia
Stricticollis rufithorax,Animalia
Steropes popei,Animalia
Pseudotomoderus compressicollis,Animalia
Anthelephila canaliculata,Animalia
Cyclodinus dimidiatus,Animalia
Anthicus lapidosus,Animalia
Stenidius contractipennis,Animalia
Oulimnius major,Animalia
Anacaena haemorrhoa,Animalia
Anacaena lohsei,Animalia
Anacaena rufipes,Animalia
Berosus bispina,Animalia
Berosus fulvus,Animalia
Berosus byzantinus,Animalia
Cercyon inquinatus,Animalia
Berosus guttalis,Animalia
Cercyon arenarius,Animalia
Cercyon subsulcatus,Animalia
Cercyon putricola,Animalia
Cryptopleurum crenatum,Animalia
Georissus substriatus,Animalia
Helophorus barbarae,Animalia
Helophorus brevitarsis,Animalia
Helophorus asturiensis,Animalia
Helophorus fauveli,Animalia
Helophorus confrater,Animalia
Helophorus gratus,Animalia
Helophorus korotyaevi,Animalia
Helophorus leontis,Animalia
Helophorus hirsutiventris,Animalia
Helophorus hispanicus,Animalia
Helophorus liguricus,Animalia
Helophorus schmidti,Animalia
Helophorus obscurellus,Animalia
Helophorus maritimus,Animalia
Steropes latifrons,Animalia
Helophorus milleri,Animalia
Helophorus hammondi,Animalia
Helophorus illustris,Animalia
Helophorus jocoteroi,Animalia
Helophorus kervillei,Animalia
Helophorus kirgisicus,Animalia
Helophorus occidentalis,Animalia
Helophorus paraminutus,Animalia
Helophorus puncticollis,Animalia
Helophorus rinki,Animalia
Helophorus seidlitzii,Animalia
Helophorus similis,Animalia
Helophorus villosus,Animalia
Hemisphaera miltiadis,Animalia
Laccobius atrocephalus,Animalia
Laccobius hispanicus,Animalia
Laccobius neapolitanus,Animalia
Laccobius sculptus,Animalia
Laccobius scutellaris,Animalia
Laccobius femoralis,Animalia
Laccobius revelieri,Animalia
Laccobius moraguesi,Animalia
Laccobius simulatrix,Animalia
Laccobius syriacus,Animalia
Paracymus phalacroides,Animalia
Pelosoma lafertei,Animalia
Sphaeridium substriatum,Animalia
Ancistronycha occipitalis,Animalia
Ancistronycha violacea,Animalia
Armidia nobilissima,Animalia
Armidia signata,Animalia
Boveycantharis dimidiatipes,Animalia
Boveycantharis unguiculata,Animalia
Cantharis annularis,Animalia
Cantharis assimilis,Animalia
Cantharis coronata,Animalia
Cantharis instabilis,Animalia
Cantharis liburnica,Animalia
Cantharis monacha,Animalia
Cantharis paganettii,Animalia
Cantharis fresnedai,Animalia
Cantharis palliata,Animalia
Cantharis paulinoi,Animalia
Cantharis pyrenaea,Animalia
Cantharis reichei,Animalia
Cantharis smyrnensis,Animalia
Cantharis xanthoporpa,Animalia
Cordicantharis longicollis,Animalia
Cratosilis distinguenda,Animalia
Cratosilis laeta,Animalia
Macrocerus kadleci,Animalia
Macrocerus sinuatocollis,Animalia
Macrocerus tunicatus,Animalia
Malthinus axillaris,Animalia
Malthinus diffusus,Animalia
Malthinus geniculatus,Animalia
Malthinus ganesh,Animalia
Malthinus mutabilis,Animalia
Malthinus rhaphidiceps,Animalia
Malthinus scapularis,Animalia
Malthinus scriptus,Animalia
Malthinus turcicus,Animalia
Malthodes alpicola,Animalia
Malthodes argivus,Animalia
Malthodes berytensis,Animalia
Malthodes bifurcatus,Animalia
Malthodes chelifer,Animalia
Malthodes corsicus,Animalia
Malthodes cruciferarum,Animalia
Malthodes cyphonurus,Animalia
Malthodes cypricus,Animalia
Malthodes forcipifer,Animalia
Malthodes genistae,Animalia
Malthodes graecus,Animalia
Malthodes laciniatus,Animalia
Malthodes lautus,Animalia
Malthodes ludwigi,Animalia
Malthodes mendax,Animalia
Malthodes novaki,Animalia
Malthodes pusillopygus,Animalia
Malthodes trifurcatus,Animalia
Malthodes validicornis,Animalia
Malthodes insulcatus,Animalia
Metacantharis balcanograeca,Animalia
Metacantharis picciolii,Animalia
Metacantharis turcica,Animalia
Occathemus tarsalis,Animalia
Podistra birnbacheri,Animalia
Podistra rupicola,Animalia
Rhagonycha approximana,Animalia
Rhagonycha bithinica,Animalia
Rhagonycha corcyrea,Animalia
Rhagonycha falcifera,Animalia
Rhagonycha femoralis,Animalia
Rhagonycha fulvaliena,Animalia
Rhagonycha genistae,Animalia
Rhagonycha gilvipennis,Animalia
Rhagonycha hesperica,Animalia
Notoxus rubetorum,Animalia
Helophorus singularis,Animalia
Helophorus nevadensis,Animalia
Rhagonycha milleri,Animalia
Rhagonycha opaca,Animalia
Steropes obscurans,Animalia
Omonadus phoenicius,Animalia
Malthodes recurvus,Animalia
Rhagonycha plagiella,Animalia
Rhagonycha nigrosuta,Animalia
Helophorus wrootae,Animalia
Rhagonycha varians,Animalia
Rhagonycha striatofrons,Animalia
Hyperaspis guttulata,Animalia
Coccinella saucerottei,Animalia
Coccinella venusta,Animalia
Diomus rubidus,Animalia
Coelopterus salinus,Animalia
Rhagonycha quadricollis,Animalia
Anisosticta strigata,Animalia
Rhagonycha kiesenwetteri,Animalia
Rhagonycha kuleghana,Animalia
Notoxus miles,Animalia
Nephus nigricans,Animalia
Lithophilus cordatus,Animalia
Rhagonycha nitida,Animalia
Rhagonycha ornaticollis,Animalia
Nephus ludyi,Animalia
Oenopia oncina,Animalia
Myrrha thuriferae,Animalia
Pharoscymnus setulosus,Animalia
Rhyzobius bipartitus,Animalia
Scymnus araraticus,Animalia
Rhagonycha patricia,Animalia
Lithophilus connatus,Animalia
Scymnobius bivulnerus,Animalia
Scymnus mediterraneus,Animalia
Scymnus limnichoides,Animalia
Scymnus damryi,Animalia
Scymnus franzi,Animalia
Scymnus marginalis,Animalia
Dichelotarsus procerulus,Animalia
Nephus kiesenwetteri,Animalia
Nephus flavopictus,Animalia
Scymnus quadriguttatus,Animalia
Scymnus rufipes,Animalia
Stethorus balearicus,Animalia
Scymnus flagellisiphonatus,Animalia
Anthicus angustatus,Animalia
Scymnus fraxini,Animalia
Anthrenus munroi,Animalia
Anthrenus coloratus,Animalia
Anthrenus flavidus,Animalia
Anthrenus olgae,Animalia
Anthrenus sordidulus,Animalia
Anthrenus delicatus,Animalia
Anthrenus molitor,Animalia
Attagenus abbreviatus,Animalia
Attagenus civetta,Animalia
Attagenus lynx,Animalia
Attagenus obtusus,Animalia
Attagenus posticalis,Animalia
Attagenus wollastoni,Animalia
Attagenus escalerai,Animalia
Attagenus cyphonoides,Animalia
Attagenus lobatus,Animalia
Attagenus silvaticus,Animalia
Attagenus simplex,Animalia
Attagenus maritimus,Animalia
Attagenus fallax,Animalia
Olibrus bisignatus,Animalia
Olibrus,Animalia
Attagenus tigrinus,Animalia
Attagenus quadrimaculatus,Animalia
Dermestes coronatus,Animalia
Dermestes intermedius,Animalia
Dermestes leopardinus,Animalia
Scymnus pallidulus,Animalia
Scymnus bivulnerus,Animalia
Steropes caspius,Animalia
Lithophilus marginatus,Animalia
Scymnus fulvicollis,Animalia
Scymnus flavicollis,Animalia
Dermestes gyllenhali,Animalia
Dermestes pardalis,Animalia
Dermestes hirticollis,Animalia
Globicornis picta,Animalia
Globicornis tristis,Animalia
Globicornis variegata,Animalia
Megatoma ruficornis,Animalia
Dermestes aurichalceus,Animalia
Anthrenus pfefferi,Animalia
Anthrenus signatus,Animalia
Orphinus fulvipes,Animalia
Thorictus baudii,Animalia
Thorictus castaneus,Animalia
Thorictus foreli,Animalia
Thorictus franzi,Animalia
Thorictus grandicollis,Animalia
Thorictus mauritanicus,Animalia
Thorictus orientalis,Animalia
Thorictus pilosus,Animalia
Thorictus dimidiatus,Animalia
Thorictus ehlersii,Animalia
Thorictus tuberosus,Animalia
Thorictus wollastoni,Animalia
Anthrenus sarnicus,Animalia
Dryops striatopunctatus,Animalia
Dryops caspius,Animalia
Dryops doderoi,Animalia
Dryops subincanus,Animalia
Dryops rufipes,Animalia
Stethorus wollastoni,Animalia
Stethorus gilvifrons,Animalia
Curculionidae,Animalia
Scymnus laetificus,Animalia
Dermestes hispanicus,Animalia
Dryops championi,Animalia
Dryops striatellus,Animalia
Procas picipes,Animalia
Aulonogyrus concinnus,Animalia
Gyrinus colymbus,Animalia
Gyrinus dejeani,Animalia
Brychius glabratus,Animalia
Haliplus kulleri,Animalia
Haliplus maculatus,Animalia
Haliplus rubidus,Animalia
Haliplus andalusicus,Animalia
Haliplus guttatus,Animalia
Haliplus ruficeps,Animalia
Haliplus varius,Animalia
Augyles marmota,Animalia
Augyles obliteratus,Animalia
Augyles pruinosus,Animalia
Augyles senescens,Animalia
Augyles flavidus,Animalia
Heterocerus holosericeus,Animalia
Micilus murinus,Animalia
Ochthebius,Animalia
Hydraena ludovicae,Animalia
Hydraena phassilyi,Animalia
Hydraena angustata,Animalia
Hydraena imperatrix,Animalia
Hydraena jailensis,Animalia
Hydraena spinipes,Animalia
Tytthaspis phalerata,Animalia
Dryops griseus,Animalia
Dryops sulcipennis,Animalia
Hydraena paganettii,Animalia
Hydraena hungarica,Animalia
Procas granillicollis,Animalia
Limnebius punctatus,Animalia
Cerapheles lateplagiatus,Animalia
Limnichus angustulus,Animalia
Bothriophorus atomus,Animalia
Anthodromius bicolor,Animalia
Cerallus brevicollis,Animalia
Cerallus rubidius,Animalia
Dasytes coerulescens,Animalia
Dasytes croceipes,Animalia
Ebaeus appendiculatus,Animalia
Ebaeus pedicularius,Animalia
Melyrosoma flavescens,Animalia
Melyrosoma hirtum,Animalia
Protapalochrus flavolimbatus,Animalia
Limnichus inornatus,Animalia
Melyris versicolor,Animalia
Sphinginus apicalis,Animalia
Dellamora palposa,Animalia
Pseudodellamora championi,Animalia
Variimorda briantea,Animalia
Variimorda hladili,Animalia
Variimorda krikkeni,Animalia
Melyrosoma artemisiae,Animalia
Conalia baudii,Animalia
Variimorda basalis,Animalia
Mordellistena episternalis,Animalia
Variimorda ragusai,Animalia
Mordellistena micans,Animalia
Mordellistena parvula,Animalia
Mordellistena reitteri,Animalia
Mordellistena rugipennis,Animalia
Mordellistena sericata,Animalia
Mordellistena stenidea,Animalia
Mordellistena tenuicornis,Animalia
Mordellistena emeryi,Animalia
Melyris oblonga,Animalia
Mordellaria aurofasciata,Animalia
Limnichus lederi,Animalia
Melyris bicolor,Animalia
Melyrosoma oceanicum,Animalia
Limnichus aurosericeus,Animalia
Lampronia pubicornis,Animalia
Agnoea flavifrontella,Animalia
Aplota palpellus,Animalia
Denisia subaquilea,Animalia
Ischnoscia borreonella,Animalia
Leucoptera lotella,Animalia
Euchromius ocellea,Animalia
Catoptria furcatellus,Animalia
Scythris siccella,Animalia
Etone flava,Animalia
Echiuroidea,Animalia
Aricidea katarinae,Animalia
Echiurus,Animalia
Aricidea parabelgica,Animalia
Aricidea albatrossa,Animalia
Aricidea cf. parabelgica,Animalia
Paraonella myriamae,Animalia
