Kingdom,Phylum,Class,Order,Family,Genus,Species
Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula lateralis
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Heleniella,Heleniella ornaticollis
Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Nephrotoma,Nephrotoma quadrifaria
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,Orthocladius ruffoi
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus transvaalensis
Animalia,Arthropoda,Insecta,Diptera,Agromyzidae,Agromyza,Agromyza pseudoreptans
Animalia,Arthropoda,Insecta,Diptera,Muscidae,Limnophora,Limnophora riparia
Animalia,Arthropoda,Malacostraca,Decapoda,Astacidae,Pacifastacus,Pacifastacus leniusculus
Animalia,Arthropoda,Insecta,Diptera,Lauxaniidae,Pseudolyciella,Pseudolyciella pallidiventris
Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,Glyphotaelius,Glyphotaelius pellucidus
Animalia,Arthropoda,Insecta,Diptera,Psychodidae,Pneumia,Pneumia nubila
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura fittkaui
Animalia,Arthropoda,Insecta,Coleoptera,Elmidae,Elmis,Elmis aenea
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus,Paratanytarsus dissimilis
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus plumosus
Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,Calliphora,Calliphora vicina
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus riparius
Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula paludosa
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Ablabesmyia longistyla
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura lacustris
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Bryophaenocladius,Bryophaenocladius flexidens
Animalia,Annelida,Clitellata,Tubificida,Naididae,Stylaria,Stylaria lacustris
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Bryophaenocladius,Bryophaenocladius terrestris
Animalia,Arthropoda,Insecta,Psocodea,Caeciliusidae,Valenzuela,Valenzuela flavidus
Animalia,Arthropoda,Insecta,Psocodea,Ectopsocidae,Ectopsocus,Ectopsocus meridionalis
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra,Micropsectra apposita
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura coronata
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus flaviplumus
Animalia,Arthropoda,Insecta,Coleoptera,Elmidae,Limnius,Limnius volckmari
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Paracladius,Paracladius quadrinodosus
Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Antocha,Antocha vitripennis
Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium erythrocephalum
Animalia,Arthropoda,Insecta,Coleoptera,Gyrinidae,Orectochilus,Orectochilus villosus
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Syrphus,Syrphus ribesii
Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae,Paroligolophus,Paroligolophus agrestis
Animalia,Arthropoda,Insecta,Diptera,Heleomyzidae,Heteromyza,Heteromyza rotundicornis
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus fuscus
Animalia,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,Leuctra digitata
Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula vernalis
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Parametriocnemus,Parametriocnemus stylatus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Prodiamesa,Prodiamesa olivacea
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Thienemanniella,Thienemanniella majuscula
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Limnophyes,Limnophyes pentaplastus
Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula oleracea
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum pedestre
Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Delia,Delia platura
Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Aphthona,Aphthona euphorbiae
Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibio,Bibio marci
Animalia,Annelida,Clitellata,Tubificida,Naididae,Ophidonais,Ophidonais serpentina
Animalia,Arthropoda,Insecta,Diptera,Trichoceridae,Trichocera,Trichocera annulata
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Potthastia,Potthastia longimanus
Animalia,Annelida,Clitellata,Tubificida,Naididae,Rhyacodrilus,Rhyacodrilus coccineus CEA
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus brundini
Animalia,Arthropoda,Insecta,Diptera,Dixidae,Dixa,Dixa submaculata
Animalia,Arthropoda,Insecta,Diptera,Pediciidae,Dicranota,Dicranota bimaculata
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Paratendipes,Paratendipes albimanus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum scalaenum
Animalia,Arthropoda,Insecta,Diptera,Anisopodidae,Sylvicola,Sylvicola fuscatus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Thienemanniella,Thienemanniella obscura
Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Botanophila,Botanophila fugax
Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Limonia,Limonia nubeculosa
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella,Eukiefferiella dittmari
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Kiefferulus,Kiefferulus tendipediformis
Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula vittata
Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,Halesus,Halesus digitatus
Animalia,Arthropoda,Insecta,Diptera,Lauxaniidae,Calliopum,Calliopum aeneum
Animalia,Arthropoda,Insecta,Trichoptera,Apataniidae,Apatania,Apatania cimbrica
Animalia,Arthropoda,Insecta,Diptera,Polleniidae,Pollenia,Pollenia griseotomentosa
Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium rubzovianum
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus pseudothummi
Animalia,Arthropoda,Insecta,Diptera,Pediciidae,Dicranota,Dicranota robusta
Animalia,Arthropoda,Insecta,Diptera,Psychodidae,Psychoda,Psychoda alternata
Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Sphaeroderma,Sphaeroderma testaceum
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,Orthocladius thienemanni
Animalia,Arthropoda,Insecta,Diptera,Empididae,Clinocera,Clinocera stagnalis
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Apsectrotanypus,Apsectrotanypus trifascipennis
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus sylvestris
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus cingulatus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus trifascia
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Odontomesa,Odontomesa fulva
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneurella,Corynoneurella paludosa
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Diplocladius,Diplocladius cultriger
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Glyptotendipes,Glyptotendipes pallens
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus triannulatus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,Orthocladius rubicundus
Animalia,Arthropoda,Insecta,Diptera,Lauxaniidae,Calliopum,Calliopum simillimum
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Macropelopia,Macropelopia notata
Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium noelleri
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,Microtendipes chloris
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Rheotanytarsus,Rheotanytarsus photophilus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,Orthocladius schnelli
Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium petricolum
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Syrphus,Syrphus vitripennis
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Rheocricotopus,Rheocricotopus chalybeatus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Rheocricotopus,Rheocricotopus robacki
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus,Paratanytarsus austriacus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Tvetenia,Tvetenia calvescens
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Limnophyes,Limnophyes habilis
Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Anomoia,Anomoia purmunda
Animalia,Arthropoda,Insecta,Diptera,Ephydridae,Hydrellia,Hydrellia maura
Animalia,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops europensis
Animalia,Arthropoda,Insecta,Diptera,Dixidae,Dixa,Dixa nubilipennis
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus mendax
Animalia,Arthropoda,Insecta,Diptera,Polleniidae,Pollenia,Pollenia angustigena
Animalia,Arthropoda,Insecta,Neuroptera,Hemerobiidae,Hemerobius,Hemerobius micans
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Brillia,Brillia flavifrons
Animalia,Arthropoda,Ostracoda,Podocopida,Darwinulidae,Darwinula,Darwinula stevensoni
Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Symplecta,Symplecta pilipes
Animalia,Arthropoda,Insecta,Diptera,Ptychopteridae,Ptychoptera,Ptychoptera lacustris
Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,Carpophilus,Carpophilus marginellus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus pallidicornis
Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Scaptomyza,Scaptomyza flava
Animalia,Arthropoda,Insecta,Diptera,Pediciidae,Dicranota,Dicranota pavida
Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,Lucilia,Lucilia ampullacea
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus albiforceps
Animalia,Arthropoda,Insecta,Diptera,Muscidae,Phaonia,Phaonia tuguriorum
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus verralli
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,Microtendipes confinis
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Psectrotanypus,Psectrotanypus varius
Animalia,Annelida,Clitellata,Tubificida,Naididae,Tubifex,Tubifex tubifex
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus annularius
Animalia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia ratzeli
Animalia,Arthropoda,Insecta,Diptera,Muscidae,Muscina,Muscina levida
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cladotanytarsus,Cladotanytarsus atridorsum
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Melanostoma,Melanostoma mellinum
Animalia,Annelida,Clitellata,Tubificida,Naididae,Nais,Nais pseudobtusa CEA
Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabus,Agabus didymus
Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus flavicans
Animalia,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,Leuctra fusca
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus longitarsis
Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Acyphoderes,Acyphoderes suavis
Animalia,Annelida,Clitellata,Tubificida,Naididae,Potamothrix,Potamothrix bavaricus
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus madidus
Animalia,Arthropoda,Insecta,Trichoptera,Goeridae,Silo,Silo nigricornis
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Epistrophe,Epistrophe grossulariae
Animalia,Arthropoda,Insecta,Diptera,Psychodidae,Psychoda,Psychoda cinerea
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Phaenopsectra,Phaenopsectra punctipes
Animalia,Arthropoda,Insecta,Diptera,Psychodidae,Pneumia,Pneumia trivialis
Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eisenia,Eisenia fetida
Animalia,Arthropoda,Insecta,Psocoptera,Ectopsocidae,Ectopsocus,Ectopsocus californicus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus heusdensis
Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Lipsothrix,Lipsothrix remota
Animalia,Arthropoda,Insecta,Megaloptera,Sialidae,Sialis,Sialis lutaria
Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,Paraleptophlebia submarginata
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,Procladius longistilus
Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Macronychia,Macronychia striginervis
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra,Micropsectra junci
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Tasgius,Tasgius melanarius
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Anotylus,Anotylus inustus
Animalia,Arthropoda,Insecta,Psocodea,Philotarsidae,Philotarsus,Philotarsus picicornis
Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium angustipes
Animalia,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Lumbriculus,Lumbriculus variegatus I
Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Campsicnemus,Campsicnemus curvipes
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus reversus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Rheocricotopus,Rheocricotopus atripes
Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Lasiomma,Lasiomma seminitidum
Animalia,Arthropoda,Insecta,Diptera,Agromyzidae,Phytomyza,Phytomyza rufipes
Animalia,Arthropoda,Insecta,Diptera,Heleomyzidae,Tephrochlamys,Tephrochlamys rufiventris
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Stempellina,Stempellina bausei
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus melanotus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Smittia,Smittia pratorum
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura scutellata
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,Orthocladius fuscimanus
Animalia,Arthropoda,Insecta,Diptera,Pallopteridae,Palloptera,Palloptera ustulata
Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Culicoides,Culicoides scoticus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Nanocladius,Nanocladius dichromus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,Microtendipes tarsalis
Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus crystallinus
Animalia,Arthropoda,Insecta,Diptera,Psychodidae,Psychoda,Psychoda albipennis
Animalia,Arthropoda,Insecta,Diptera,Platypezidae,Platypeza,Platypeza consobrina
Animalia,Arthropoda,Insecta,Diptera,Muscidae,Hebecnema,Hebecnema vespertina
Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Platambus,Platambus maculatus
Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae,Dicranopalpus,Dicranopalpus ramosus
Animalia,Arthropoda,Insecta,Coleoptera,Elmidae,Oulimnius,Oulimnius tuberculatus
Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Molophilus,Molophilus griseus
Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium ornatum
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum albicorne
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Thienemanniella,Thienemanniella vittata
Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula peliostigma
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Leptusa,Leptusa ruficollis
Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Hydrophorus,Hydrophorus litoreus
Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Scaptomyza,Scaptomyza pallida
Animalia,Arthropoda,Insecta,Diptera,Phoridae,Megaselia,Megaselia brevicostalis
Animalia,Arthropoda,Insecta,Diptera,Lauxaniidae,Sapromyza,Sapromyza quadripunctata
Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Pilaria,Pilaria discicollis
Animalia,Arthropoda,Insecta,Diptera,Empididae,Hemerodromia,Hemerodromia adulatoria
Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Paradelia,Paradelia intersecta
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Smittia,Smittia edwardsi
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Lesteva,Lesteva pubescens
Animalia,Annelida,Clitellata,Tubificida,Naididae,Slavina,Slavina appendiculata
Animalia,Arthropoda,Insecta,Hemiptera,Acanthosomatidae,Elasmucha,Elasmucha grisea
Animalia,Arthropoda,Insecta,Diptera,Heleomyzidae,Suillia,Suillia bicolor
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Meliscaeva,Meliscaeva auricollis
Animalia,Arthropoda,Insecta,Trichoptera,Lepidostomatidae,Crunoecia,Crunoecia irrorata
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Tasgius,Tasgius ater
Animalia,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,Eucyclops serrulatus
Animalia,Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Alona,Alona rectangula
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Ocypus,Ocypus aeneocephalus
Animalia,Arthropoda,Insecta,Diptera,Muscidae,Muscina,Muscina prolapsa
Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus obscuripes
Animalia,Arthropoda,Insecta,Diptera,Polleniidae,Pollenia,Pollenia pediculata
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cladotanytarsus,Cladotanytarsus difficilis
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Xantholinus,Xantholinus linearis
Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,Lucilia,Lucilia sericata
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Acricotopus,Acricotopus lucens
Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula lunata
Animalia,Arthropoda,Ostracoda,Podocopida,Cyprididae,Cypridopsis,Cypridopsis vidua
Animalia,Arthropoda,Insecta,Diptera,Muscidae,Hydrotaea,Hydrotaea cyrtoneurina
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,Harpalus subcylindricus
Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Berosus,Berosus affinis
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus trifasciatus
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Anotylus,Anotylus sculpturatus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella,Eukiefferiella brevicalcar
Animalia,Annelida,Clitellata,Tubificida,Naididae,Aulodrilus,Aulodrilus pluriseta
Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila immigrans
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Syrphus,Syrphus torvus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus rufiventris
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,Procladius culiciformis
Animalia,Arthropoda,Insecta,Neuroptera,Hemerobiidae,Hemerobius,Hemerobius humulinus
Animalia,Arthropoda,Insecta,Diptera,Fanniidae,Fannia,Fannia genualis
Animalia,Annelida,Clitellata,Tubificida,Naididae,Chaetogaster,Chaetogaster sorgensis
Animalia,Arthropoda,Insecta,Diptera,Sphaeroceridae,Pullimosina,Pullimosina pullula
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Epoicocladius,Epoicocladius ephemerae
Animalia,Annelida,Clitellata,Tubificida,Naididae,Aulodrilus,Aulodrilus japonicus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chaetocladius,Chaetocladius perennis
Animalia,Annelida,Clitellata,Tubificida,Naididae,Nais,Nais communis
Animalia,Annelida,Clitellata,Tubificida,Naididae,Potamothrix,Potamothrix hammoniensis
Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,Drusus,Drusus annulatus
Animalia,Arthropoda,Insecta,Diptera,Psychodidae,Panimerus,Panimerus albifacies
Animalia,Annelida,Clitellata,Tubificida,Naididae,Chaetogaster,Chaetogaster cristallinus CEF
Animalia,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Megacyclops,Megacyclops viridis
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Gymnometriocnemus,Gymnometriocnemus brumalis
Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,Octolasion cyaneum
Animalia,Arthropoda,Insecta,Diptera,Anthomyzidae,Anagnota,Anagnota bicolor
Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Baetis vernus
Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Hydrophoria,Hydrophoria ruralis
Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula luna
Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Baetis scambus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius,Psectrocladius sordidellus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Limnophyes,Limnophyes minimus
Animalia,Arthropoda,Insecta,Coleoptera,Geotrupidae,Geotrupes,Geotrupes mutator
Animalia,Arthropoda,Insecta,Diptera,Scathophagidae,Scathophaga,Scathophaga furcata
Animalia,Arthropoda,Insecta,Diptera,Muscidae,Stomoxys,Stomoxys calcitrans
Animalia,Arthropoda,Insecta,Hemiptera,Nepidae,Nepa,Nepa cinerea
Animalia,Bryozoa,Phylactolaemata,Plumatellida,Lophopodidae,Lophopus,Lophopus crystallinus
Animalia,Arthropoda,Insecta,Diptera,Sphaeroceridae,Opacifrons,Opacifrons coxata
Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles lindesayi
Animalia,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,Taeniopteryx,Taeniopteryx nebulosa
Animalia,Arthropoda,Insecta,Diptera,Dixidae,Dixa,Dixa nebulosa
Animalia,Arthropoda,Insecta,Diptera,Scathophagidae,Scathophaga,Scathophaga stercoraria
Animalia,Arthropoda,Insecta,Diptera,Agromyzidae,Agromyza,Agromyza anthracina
Animalia,Arthropoda,Insecta,Diptera,Stratiomyidae,Chloromyia,Chloromyia formosa
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Trissopelopia,Trissopelopia longimanus
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus nuditarsis
Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,Enoicyla,Enoicyla pusilla
